PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
11,2025-10-29,10:04:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531dd386-ecf6-41b0-86a3-bf64ca5c1930,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,18.22725651,1000444244,"Chipman, Jay",2277.2842,LineDrive,82.88735,Right,23.99254702,NA,NA,NA,253.77182,18.93358,3.049457401,27.97740646,1.92539,3.44555,0.54335,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
12,2025-10-29,10:04:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e845bb0d-1788-40b9-b1de-d9a284ac305e,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,15.85641183,1000444244,"Chipman, Jay",1109.209183,LineDrive,85.03959,Right,19.94154338,NA,NA,NA,288.21122,24.04119,3.859959498,21.44179635,2.28137,2.7488,0.93549,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
13,2025-10-29,10:05:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,daf96943-72f0-4d57-8759-a6e05e849451,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-4.337985785,1000444244,"Chipman, Jay",7297.528038,GroundBall,85.61765,Right,4.714022183,NA,NA,NA,NA,13.81486,NA,NA,2.4635,3.49328,0.33372,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
14,2025-10-29,10:06:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712b186a-4f95-4984-a1f9-954d9078bf95,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-28.54856865,1000283624,"Gaynor, Jared",2169.175525,GroundBall,32.95251,Left,7.934344698,NA,NA,NA,32.90089,14.11868,0.727919634,-27.17657126,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
15,2025-10-29,10:06:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57fd1922-92f5-4d7d-b312-79025fe8eef3,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-11.72444986,1000283624,"Gaynor, Jared",1547.161189,GroundBall,59.52966,Left,9.143586508,NA,NA,NA,91.79257,31.27522,1.145698588,-13.79288862,1.54749,2.30624,-0.2632,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
16,2025-10-29,10:06:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951a1906-3afc-480d-80b0-395e3349edf3,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-3.322743813,1000283624,"Gaynor, Jared",3280.034975,GroundBall,70.35603,Left,-14.97253992,NA,NA,NA,10.7296,10.01379,0.09096408038,-2.897738646,1.8006,2.59204,-0.08438,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
17,2025-10-29,10:06:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e70827b3-e6aa-4efe-bc59-b6b0df97c41c,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-13.90280101,1000283624,"Gaynor, Jared",3787.594876,FlyBall,69.99185,Left,30.86982302,NA,NA,NA,238.68011,15.73598,3.806658949,-8.287136632,1.66084,3.43174,-0.23679,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
18,2025-10-29,10:06:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4a6b4e06-f93f-4d29-8c5a-d157300b3d37,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-2.234883919,1000283624,"Gaynor, Jared",776.7996654,GroundBall,82.88392,Left,5.553734286,NA,NA,NA,104.64786,66.27029,0.9320915762,-3.612654142,1.76309,2.85312,-0.40364,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
19,2025-10-29,10:07:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e29db72-dbab-4d85-9a69-ae73f349e7ae,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-21.18229012,1000283624,"Gaynor, Jared",3135.078529,FlyBall,63.5473,Left,27.04385265,NA,NA,NA,156.41071,18.12907,2.260774866,-28.09290238,1.52152,3.84235,0.24063,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
20,2025-10-29,10:07:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f3f3fa15-6c0c-4210-a39f-666ec086939a,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-11.45299542,1000283624,"Gaynor, Jared",2060.353943,GroundBall,81.8439,Left,10.42361552,NA,NA,NA,159.98775,31.75191,1.614735882,-18.32444425,1.76541,2.98439,-0.1743,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
21,2025-10-29,10:07:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99febc10-4f1c-4e0c-9a1e-de772ef4a043,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-13.60020479,1000283624,"Gaynor, Jared",1399.509275,GroundBall,77.51957,Left,9.712117255,NA,NA,NA,131.79387,29.74016,1.320892282,-17.47442699,1.86139,3.82537,0.05824,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
22,2025-10-29,10:07:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,edb324b5-faae-49ca-8cd7-cac34e65073d,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,0.01738482691,1000283624,"Gaynor, Jared",341.0057963,GroundBall,83.29697,Left,9.818397057,NA,NA,NA,143.26087,66.58768,1.33000328,-0.07436855173,1.84175,3.51132,-0.24718,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
23,2025-10-29,10:07:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df4028d5-5a71-4155-8438-72c0f5be56ab,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-12.08847688,1000283624,"Gaynor, Jared",1586.647043,GroundBall,83.99571,Left,8.080042883,NA,NA,NA,152.52217,31.60658,1.437956696,-15.63331355,1.30963,3.30339,-0.05081,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
24,2025-10-29,10:07:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cb6a6a17-4573-45ec-8a26-06edbc0ae0c2,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-35.9996755,1000283624,"Gaynor, Jared",3512.921863,LineDrive,68.82478,Left,20.28500879,NA,NA,NA,130.71917,10.91971,1.588534414,-33.50601996,0.98509,3.48336,-0.75171,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
25,2025-10-29,10:07:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107eb9d1-641b-4f6c-a272-7fc072b9adbf,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-31.13744877,1000283624,"Gaynor, Jared",3814.464562,FlyBall,63.8448,Left,31.29093549,NA,NA,NA,197.02237,12.18408,3.057229965,-24.7746592,1.31654,3.61143,-0.48475,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
26,2025-10-29,10:08:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42f536f9-b52d-4b66-81bb-a590ae7de86c,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-7.650452737,1000283624,"Gaynor, Jared",371.5216942,GroundBall,71.39694,Left,1.606867824,NA,NA,NA,49.69389,42.22171,0.4793950014,-8.698277379,1.47318,2.34216,-0.8337,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
27,2025-10-29,10:08:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8a3134f3-4835-4436-90ae-264e4f8b178e,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-14.54619499,1000283624,"Gaynor, Jared",1614.648246,LineDrive,81.66671,Left,14.17536666,NA,NA,NA,223.38246,22.4206,2.38619417,-15.8274465,1.0894,3.31332,-0.73295,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
28,2025-10-29,10:09:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f566179f-a860-4e11-86a0-f5fa275d32c1,2de26403-b7b2-447c-bb51-f4bc35d3f289,NA,Hitting,23360159,-3.051100875,1000283624,"Gaynor, Jared",2448.396553,LineDrive,77.38445,Left,23.79911667,NA,NA,NA,267.53904,18.01205,3.86560601,-1.465950287,0.90589,3.3952,0.04871,NA,NA,NA,NA,NA,NA,5e2e2770-375c-47c2-bf2a-b88ee0d4fb39
