PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2025-12-30,09:52:19,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,86.569,-1.350294733,3.363124756,2545.872152,168.6719528,11:30:00,6.49601,-1.45364,NA,-16.46256,22.24948,-4.4689,3.8501,1.34474,78.21762,-4.412030344,2.531365703,0.4478106209,3.38533,12.12213,1.14123,50,6.35671,-7.21851,-125.52959,-3.54698,5.34747,27.79385,-13.02596,2a2ea345-fce8-4a23-bec5-aa7cc87250e3,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.1122067,2179.666313,0.8561570192,NA,7c5b6f2e-ecf2-472b-bc96-2dda702f8d3f,2d468ac2-9dec-4f36-9195-4ed27c1686dd
2,2025-12-30,09:52:37,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,87.65421,-3.429654122,2.313489071,2647.818205,156.3367037,11:15:00,6.39051,-1.44522,NA,-21.29303,17.97488,-7.87499,1.31953,0.11898,79.40294,-7.299290224,0.8710766033,0.4510142795,4.70654,10.17904,1.1956,50,5.98611,-4.80051,-126.81331,-8.47881,7.59213,28.21222,-15.75423,8dbc340c-8b1e-4864-a012-249df8c0a90a,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.44888878,2390.897668,0.9029689665,NA,f866e7d9-4f65-4476-adb2-a0c5f9eb0a0d,2d468ac2-9dec-4f36-9195-4ed27c1686dd
3,2025-12-30,09:52:54,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,87.53631,-4.24394384,2.858135338,2557.416017,156.1436238,11:15:00,6.44562,-1.58136,NA,-19.82922,19.41683,-8.57424,0.72554,0.43738,79.14868,-7.858305378,1.280760625,0.45088872,5.28323,11.27103,1.28189,50,5.96857,-5.97426,-126.4875,-10.18573,8.4586,28.63099,-14.12881,a7be4c33-bddf-4da1-a024-7ea0ffcc6737,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.18937994,2384.511203,0.9323908141,NA,2c5671f3-4253-4922-9a02-aa46699fdb6a,2d468ac2-9dec-4f36-9195-4ed27c1686dd
4,2025-12-30,09:53:10,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,88.96121,-1.72695089,2.832282462,2660.71316,159.3475351,11:15:00,6.47958,-1.57912,NA,-18.01702,20.48248,-7.73397,3.31329,0.50491,79.92541,-5.015384092,1.417667506,0.4465796365,4.81334,10.90197,1.26247,50,6.26192,-6.04041,-128.72212,-4.64951,7.96088,30.27114,-14.14304,9a336201-bc8a-4cd6-a405-61dfeb96c1a4,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.36808946,2477.812777,0.9312588874,NA,2c8ea134-9b24-474c-8a62-6f34acc0020c,2d468ac2-9dec-4f36-9195-4ed27c1686dd
5,2025-12-30,09:53:26,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,87.29515,-4.170533597,3.890853042,2593.52743,165.9370482,11:30:00,6.48604,-1.57424,NA,-18.97357,20.2984,-5.08481,0.90763,1.7218,79.29501,-7.621563502,2.95904368,0.4510376029,3.76313,11.64376,1.16359,50,6.0215,-8.37473,-126.08692,-9.96451,6.01771,27.22895,-13.55426,21d0f01a-3170-4e8a-84a5-eb4035f66004,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.3410679,2215.096078,0.8540862349,NA,d30d5cf7-fd58-40b3-93d9-edf6f8cd569e,2d468ac2-9dec-4f36-9195-4ed27c1686dd
6,2025-12-30,09:53:52,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,88.29692,-2.877039276,1.36746302,2626.5,154.5790109,11:15:00,6.22633,-1.41527,NA,-17.14066,19.85614,-9.43737,2.08978,-0.91572,80.09473,-6.058216906,-0.394557635,0.4377775031,5.3913,11.34403,1.29595,50,5.94789,-2.72142,-128.12979,-7.05358,8.88814,28.52734,-13.47219,631df3e5-f7fc-43cd-bf66-4fbec23e1352,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.77726815,2550.93255,0.9712288406,NA,081ba94c-ff9d-40b0-a2b9-2246cdd0abbf,2d468ac2-9dec-4f36-9195-4ed27c1686dd
7,2025-12-30,09:54:08,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,87.99989,-3.354841539,3.837859158,2607.211975,156.3150837,11:15:00,6.35314,-1.47096,NA,-16.70914,21.28645,-9.34019,1.77554,1.38755,79.54045,-6.439241667,2.107208162,0.4436474208,6.0542,12.13671,1.1009,50,6.00862,-8.1913,-127.29507,-8.10158,9.8312,28.65199,-12.46567,0532b93b-dccc-4ad5-a10a-2cb752a13b4a,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.86463617,2384.305365,0.9145038406,NA,1c1faebe-0c8f-4c0d-a5e0-2fa3280061a1,2d468ac2-9dec-4f36-9195-4ed27c1686dd
8,2025-12-30,09:54:29,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,88.207,-4.260392405,3.301113698,2670.022448,165.5170847,11:30:00,6.50875,-1.20747,NA,-18.46169,18.85171,-4.86665,0.94138,1.50124,80.43742,-7.655286139,2.398518531,0.4396467257,3.50952,11.12781,0.89919,50,6.09093,-7.18566,-127.64913,-10.19664,5.76775,27.24392,-13.88596,7306d169-c368-430a-9143-b3a9059a356f,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.81940559,2461.044732,0.9217318505,NA,e6dd640f-28b8-4bd7-aed4-0c2cfe1fde90,2d468ac2-9dec-4f36-9195-4ed27c1686dd
9,2025-12-30,09:54:51,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,88.56816,-3.080010925,2.280657201,2578.690268,144.9417303,10:45:00,6.23649,-1.94368,6.00877,-15.57253,20.19912,-14.16461,2.08074,-1.01037,80.19924,-6.016299236,-0.4043625532,0.4304680244,8.39781,11.92336,1.77257,50,5.98623,-4.67808,-128.58856,-7.41173,13.909,29.35128,-12.42579,9743e737-bf4c-4fdf-99d4-7588fba6deab,45e5cbb9-cd97-4677-b201-19bbdd4d1136,87.56153,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.99350171,2466.09926,0.9563379096,NA,22f2adc1-e855-4f3f-88ee-e39e6a772a48,2d468ac2-9dec-4f36-9195-4ed27c1686dd
10,2025-12-30,09:55:23,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,87.73576,-3.95063006,1.649668013,2607.208202,153.7245808,11:00:00,6.46436,-1.13776,NA,-20.20742,19.17862,-9.45677,0.96477,-0.33527,79.93832,-7.589830719,-0.07018898117,0.4516921562,5.22635,10.77528,0.95688,50,5.98296,-3.25328,-126.92482,-9.62855,8.49692,26.79809,-14.65576,18c75f44-c94f-4570-a43d-66779c522640,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.94922964,2418.225845,0.9275154331,NA,760a4946-50e2-4fc6-ac22-dd57c629c73f,2d468ac2-9dec-4f36-9195-4ed27c1686dd
11,2025-12-30,09:55:39,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,88.00513,-2.478417384,3.947834164,2700.310589,171.0248312,11:45:00,6.39633,-1.16093,5.87945,-16.41788,19.99382,-3.16569,2.7199,2.24687,79.84513,-5.561257552,3.352043833,0.4343020501,2.90424,11.55152,0.84397,50,6.18649,-8.70695,-127.62697,-6.06026,4.75048,28.30257,-13.27919,878124e7-bfad-4d07-b926-ca81b4f11fe3,45e5cbb9-cd97-4677-b201-19bbdd4d1136,86.78854,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.21416037,2333.474628,0.8641504567,NA,4814ae31-21c4-410e-b475-9525889d0c5c,2d468ac2-9dec-4f36-9195-4ed27c1686dd
12,2025-12-30,09:55:56,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,87.2663,-1.578144171,2.16049937,2614.237994,167.5863275,11:30:00,6.46901,-1.4125,NA,-16.90695,21.67858,-4.77934,3.56404,0.23635,78.62304,-4.710890197,1.272825449,0.4470783296,3.17268,11.79218,1.20219,50,6.29836,-4.5965,-126.55694,-4.11872,5.07839,28.97741,-13.29872,f792f1ce-bf02-4508-b78c-b26369ff12ed,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.71532407,2199.531648,0.8413662617,NA,67c20dde-eefe-4ceb-8c97-dd5f202724ce,2d468ac2-9dec-4f36-9195-4ed27c1686dd
13,2025-12-30,09:56:19,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,86.4211,-3.162996641,2.458286607,2588.024352,159.081479,11:15:00,6.32337,-1.28442,6.09103,-20.51332,16.88816,-6.45739,1.6829,0.45245,78.56466,-7.024384603,1.23434824,0.4401652727,4.26257,10.15656,1.09859,50,6.06877,-5.19262,-125.47887,-7.55795,6.73549,27.50016,-16.12519,b94d7dd0-5f1d-4d81-a466-d07531b26a3e,45e5cbb9-cd97-4677-b201-19bbdd4d1136,85.63247,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.04339832,2381.52235,0.9202086326,NA,1db0ec0e-b7fe-44a6-a9a2-6e28d9da15bf,2d468ac2-9dec-4f36-9195-4ed27c1686dd
14,2025-12-30,09:56:46,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,88.48392,-5.368196372,2.374551853,2660.46474,159.656086,11:15:00,6.23075,-1.48064,5.78284,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56438,12.04647,1.28938,50,5.77722,-5.07676,-128.07641,-12.59144,7.54012,27.8029,-12.2739,3377fad8-0044-453c-a5d7-04d1743b0e4f,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8753231531,2660.154276,0.9998833048,NA,01cbff88-3c55-44ba-9d84-126232662e25,2d468ac2-9dec-4f36-9195-4ed27c1686dd
15,2025-12-30,09:57:02,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,87.50056,0.406448695,1.154842054,2535.783846,158.5381767,11:15:00,6.2715,-1.64737,NA,-18.09807,21.08037,-8.30235,5.15256,-1.23343,78.6683,-2.920157677,-0.3722809282,0.4505001536,4.59985,10.6283,1.52917,50,6.29805,-2.22249,-126.87767,0.16962,7.40319,29.02755,-15.06843,9a94d9c0-787d-4c6a-a637-f280265af776,45e5cbb9-cd97-4677-b201-19bbdd4d1136,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.24673647,2233.816865,0.8809176968,NA,bdcc84ee-a91a-4e14-a4a7-18078351e15c,2d468ac2-9dec-4f36-9195-4ed27c1686dd
