PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SessionId
1,2025-11-18,13:32:49,"Game, Gaynor",1000495029,Left,NA,NA,Fastball,Live,NA,62.01208,-0.09028377731,3.635159808,1530.423721,139.5325541,10:45:00,5.3086,-1.5988,5.70695,-37.00651,9.42237,-8.08682,2.15702,0.45127,58.01164,-8.590672106,1.766889344,0.4904170298,7.61571,7.71203,1.97234,50,5.26739,-6.17139,-91.62005,1.46019,6.46916,13.61855,-25.62308,f3ad11ec-53c1-4f56-8d7f-49c2c52a22a9,db793363-e856-4d0d-b4d4-f2750c7912f3,76.85793,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25300f15-4946-441b-bb46-f748aa82a485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
2,2025-11-18,13:33:01,"Game, Gaynor",1000495029,Left,NA,NA,ChangeUp,Live,NA,59.5518,1.215467056,2.403065356,1048.056606,64.55268203,08:15:00,5.16925,-1.70418,5.52936,-52.90004,-2.32381,-4.78905,1.6752,-0.29647,56.23209,-10.83628293,1.300967911,0.5118522598,4.5283,-2.21086,1.94229,50,4.98484,-3.886,-88.01824,3.99251,3.56013,12.23786,-33.91222,6b76b5d6-b1bb-4018-9e75-a6e731453dae,db793363-e856-4d0d-b4d4-f2750c7912f3,73.63929,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,FoulBall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825a99aa-0cd6-4eea-8f41-3e59944ef75e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
3,2025-11-18,13:33:44,"Game, Gaynor",1000495029,Left,NA,NA,Fastball,Live,NA,63.9945,2.320802006,2.751596055,1656.423221,145.9013969,10:45:00,5.20246,-1.79213,5.6706,-33.83079,9.92313,-6.75396,4.1244,-0.29252,59.33208,-5.492828773,1.189235675,0.4760799361,6.29272,7.41591,2.07368,50,4.92723,-4.8443,-94.56822,5.33587,5.68033,14.85326,-25.47983,c689cbe5-a501-447e-8b07-0934fb4d7edf,db793363-e856-4d0d-b4d4-f2750c7912f3,79.1725,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,BallCalled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995a7e71-7712-4742-a066-55d49e3a9506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
4,2025-11-18,13:33:58,"Game, Gaynor",1000495029,Left,NA,NA,Fastball,Live,NA,63.3908,1.672458229,2.775064717,1624.510562,131.5133587,10:30:00,5.17612,-1.70015,5.6909,-37.07825,7.92613,-9.0182,3.34012,-0.37258,58.27896,-6.933622779,0.6750369674,0.4828350319,8.27555,5.91795,1.98798,50,4.9604799999999996,-4.94136,-93.8322,4.35931,7.24828,16.5269,-26.99071,c5876edd-0acb-40de-a8c8-70d70b0fb4c3,db793363-e856-4d0d-b4d4-f2750c7912f3,78.06484,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3d21952a-9111-461b-ad53-e7d8ff149542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
5,2025-11-18,13:34:18,"Game, Gaynor",1000495029,Left,NA,NA,Sweeper,Live,NA,56.27991,2.069122871,0.7497285338,1763.745851,318.2353054,04:30:00,4.85508,-2.09496,4.93287,-67.27764,-8.54421,7.5851,0.82579,-0.89166,53.09542,-13.05470534,2.480866566,0.5515870508,-5.75413,-7.3706,2.15214,50,4.61152,-0.84141,-83.20542,5.20083,-3.99631,12.1349,-37.29301,31fa4be2-c7e5-4f09-9a72-4f8c9d8b35e4,db793363-e856-4d0d-b4d4-f2750c7912f3,68.33452,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64898f62-da76-408e-ab53-2ba4ca06351e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
6,2025-11-18,13:34:33,"Game, Gaynor",1000495029,Left,NA,NA,Sinker,Live,NA,63.08355,0.3228937355,4.206610433,1544.180879,123.6653609,10:00:00,4.94962,-1.81822,5.80478,-39.37006,4.90132,-7.43882,1.91052,0.7083,59.64041,-8.688480869,2.495504879,0.4788868783,7.1076,3.93404,2.25578,50,4.86067,-7.18202,-93.04155,2.31826,6.31001,12.28897,-28.68148,e3fde503-acfc-49f0-a9ad-e68143680de0,db793363-e856-4d0d-b4d4-f2750c7912f3,78.70844,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,StrikeCalled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0798103-b690-47b0-869a-85286a20bfce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
7,2025-11-18,13:35:02,"Game, Gaynor",1000495029,Left,NA,NA,Fastball,Live,NA,62.44053,-0.1475163485,3.917828546,1615.495974,122.5002659,10:00:00,5.17416,-1.79069,5.76654,-39.8995,5.59885,-8.86614,1.7387,0.40281,58.77397,-9.290958638,1.872174762,0.4854776314,8.28344,4.61684,2.19799,50,5.13334,-6.70734,-92.18549,1.53493,7.16399,13.05843,-28.18114,bc0ef973-507d-4d73-947a-a23593d8d6a7,db793363-e856-4d0d-b4d4-f2750c7912f3,77.63991,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2d4d3e17-8124-4a94-9883-d71245a35b17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
8,2025-11-18,13:35:36,"Game, Gaynor",1000495029,Left,NA,NA,ChangeUp,Live,NA,56.11951,1.798734675,4.18507529,860.5456302,57.15030636,08:00:00,5.11921,-1.89829,5.03133,-60.9525,-2.20348,-3.33217,1.41121,1.01089,52.94565,-11.9106632,3.427945372,0.5516602843,3.82741,-2.25628,2.26985,50,4.89854,-6.16546,-82.73519,4.6436,2.64763,11.24396,-33.73484,3407e371-b230-411a-90b4-3471601c7966,db793363-e856-4d0d-b4d4-f2750c7912f3,68.32545,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,BallCalled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532b9a1b-c574-4e1a-abac-cc37b4e71fb7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
9,2025-11-18,13:35:51,"Game, Gaynor",1000495029,Left,NA,NA,Sinker,Live,NA,60.95378,1.382013725,2.223035572,1364.007392,122.0145615,10:00:00,5.08356,-1.72329,5.44875,-43.03648,5.55615,-8.96906,2.53861,-0.79628,56.96878,-8.466086149,0.1585155157,0.501714457,7.86109,4.09036,1.94576,50,4.89945,-3.85874,-90.112,3.90637,6.45404,13.27883,-28.81582,78067aa0-1a35-4f1f-af0b-d58e2a6c3861,db793363-e856-4d0d-b4d4-f2750c7912f3,75.12727,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bd5b97b0-8a22-4e00-859f-9c4103b98607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
10,2025-11-18,13:36:11,"Game, Gaynor",1000495029,Left,NA,NA,Cutter,Live,NA,61.60542,0.5893960053,2.902315582,1746.701676,175.382064,11:45:00,5.05749,-1.89345,5.42036,-44.74155,3.19673,-0.26177,1.77363,0.27303,57.47049,-9.635937981,2.842028989,0.4983249616,1.09488,2.39674,2.16857,50,4.948,-4.62921,-91.10179,2.73358,0.91179,14.51928,-30.1781,4e065312-9c7e-48ff-9fcf-d58b545b6321,db793363-e856-4d0d-b4d4-f2750c7912f3,75.63827,LiveBpPitching,23360159,NA,1000444244,"Chipman, Jay",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,FoulBall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8199c3d7-b906-4a73-888c-1b5d9a5965ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20511953-4d69-4967-8712-41714ce9e8a7
