PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,08/22/2025,46:20.9,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,74.39183,1.786274195,-0.421777805,876.177519,261.3568302,2:45,5.79467,1.68664,7.04398,-47.03724,0.92719,6.36955,3.49783,1.83435,68.55522,-7.208515358,0.801555366,0.498460852,-3.69627,0.03313,-1.66336,50,5.88649,0.6627,-108.45863,2.38025,-4.4101,18.67518,-32.13453,a030a44f-d7e7-4c0c-8c19-61ae796d0bbf,c23df5af-ceee-4d68-b493-ba31fa09724c,75.61765,Pitching,23360085,,,,,,,,,,,,,,,,,,,,14.22849123,849.2992377,0.969323247,
2,08/22/2025,46:36.4,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,75.69799,-1.029214896,-2.198267071,985.9510074,223.606087,1:30,5.81491,1.63583,7.00171,-40.47492,5.57778,5.34893,1.50568,0.08243,70.59895,-8.693745655,-1.17725236,0.488426243,-3.53745,3.37788,-1.50346,50,5.73791,4.11846,-110.36808,-2.87794,-4.41207,17.58766,-27.96101,524efafc-43cb-4c75-827f-bd61037eb994,c23df5af-ceee-4d68-b493-ba31fa09724c,77.1712,Pitching,23360085,,,,,,,,,,,,,,,,,,,250.9858777,0.470398521,985.917779,0.999966298,2:15
3,08/22/2025,46:55.5,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,75.41506,1.485726362,-1.887415097,1079.16644,282.1495853,3:30,5.85672,1.6802,6.89414,-48.56821,-2.10938,9.58196,3.16369,0.75892,70.35286,-7.712165673,-0.063975027,0.490575153,-5.78867,-1.52776,-1.56496,50,5.93228,3.40662,-109.96079,1.75375,-7.19068,16.83893,-34.07183,e6a4cd6b-d251-496b-b7a8-79cf728f872b,c23df5af-ceee-4d68-b493-ba31fa09724c,76.83316,Pitching,23360085,,,,,,,,,,,,,,,,,,,247.2652196,39.64999895,830.9114353,0.769956704,2:15
4,08/22/2025,47:23.9,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,77.06131,-2.006953414,-2.877954521,956.3236812,220.7014064,1:15,5.66048,1.74696,7.14939,-40.22492,4.26918,3.70098,0.48627,-0.55538,71.65381,-9.63922813,-2.168322504,0.480089948,-2.84481,2.9364,-1.57977,50,5.53008,5.56268,-112.2361,-4.80376,-3.64765,19.32368,-28.40897,400a04e4-87e7-4a95-b166-cc044f43f50c,c23df5af-ceee-4d68-b493-ba31fa09724c,78.5112,Pitching,23360085,,,,,,,,,,,,,,,,,,,,10.34622388,940.7743052,0.983740468,
5,08/22/2025,47:44.6,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,75.32954,1.442638638,-0.459487046,1047.988415,274.3831686,3:15,5.80344,1.89455,6.75928,-47.39624,-0.66219,8.10695,3.1715,2.15051,70.32356,-7.509697615,1.079334977,0.492026064,-4.60425,-0.70569,-1.86777,50,5.87881,0.69174,-109.87841,1.65966,-5.71499,16.67865,-33.04998,ab999512-81cf-49c4-86d1-89613266cee5,c23df5af-ceee-4d68-b493-ba31fa09724c,76.60659,Pitching,23360085,,,,,,,,,,,,,,,,,,,,32.16188717,887.1719151,0.846547445,
6,08/22/2025,48:24.2,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,78.31664,-0.488853646,-1.63178101,972.806559,266.9460388,3:00,5.70894,1.58133,7.11153,-42.51392,0.16588,3.7606,1.7225,0.4142,73.2624,-8.550677575,-0.913285706,0.470199967,-2.50066,0.20922,-1.48608,50,5.66601,3.17158,-114.2745,-1.92313,-3.35414,18.22622,-31.89342,7748f676-7648-4490-a8c0-adb48305293b,c23df5af-ceee-4d68-b493-ba31fa09724c,80.16257,Pitching,23360085,,,,,,,,,,,,,,,,,,,,18.12259473,924.5486819,0.950393142,
7,08/22/2025,48:47.3,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,76.58022,3.552477392,0.128508508,1055.97998,227.8143715,1:30,5.75469,1.52489,6.93057,-40.01926,5.00748,5.55516,5.65743,2.10479,71.01122,-4.053583394,1.185848922,0.482954936,-3.07027,1.9678,-1.53492,50,5.96165,-0.37686,-111.55734,6.01332,-3.93122,17.05032,-29.65446,8d30bad0-6089-44cd-9be0-ca32ec5aaf94,c23df5af-ceee-4d68-b493-ba31fa09724c,78.04546,Pitching,23360085,,,,,,,,,,,,,,,,,,,227.5774176,34.98982008,865.11576,0.819253941,1:30
8,08/22/2025,49:08.9,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,78.01291,-0.551604188,-2.484681903,1014.215146,260.083054,2:45,5.7053,1.70742,7.07112,-41.56192,1.77946,10.36936,1.74059,0.31462,72.53667,-8.45000378,-0.50027595,0.473830248,-6.4557,1.13961,-1.56217,50,5.65833,4.70369,-113.72995,-2.02347,-8.52893,19.15843,-30.66846,cac89171-79a7-4717-b4d6-56cb661d2b48,c23df5af-ceee-4d68-b493-ba31fa09724c,79.5484,Pitching,23360085,,,,,,,,,,,,,,,,,,,217.6628318,24.74713731,921.0737751,0.90816409,1:15
9,08/22/2025,49:31.2,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,80.13511,-2.992227569,-2.309711519,1017.633805,256.0096806,2:30,5.69902,1.53687,7.1207,,,,,,,,,,-5.86163,2.07969,-1.40367,50,5.50964,4.49528,-116.68137,-6.98093,-8.1349,20.5815,-29.28781,dc01ccc4-1f5c-475a-80b0-b75257326155,c23df5af-ceee-4d68-b493-ba31fa09724c,,Pitching,23360085,,,,,,,,,,,,,,,,,,,,31.22988744,870.1724823,0.855093923,
10,08/22/2025,49:53.5,"Lehmbeck, Blake",1000464456,Right,MEX_LOB,,ChangeUp,Live,,77.79487,-1.047435169,-1.49356862,1027.034196,244.5445757,2:15,5.70109,1.52958,7.15724,-39.67028,3.83238,8.12036,1.44555,0.85241,72.21445,-8.602868311,0.06591996,0.474711014,-4.97055,2.43542,-1.44504,50,5.62731,2.78201,-113.46451,-2.93704,-6.51754,19.62985,-28.98065,b2e9e451-3888-4287-a966-5161871f9102,c23df5af-ceee-4d68-b493-ba31fa09724c,79.40081,Pitching,23360085,,,,,,,,,,,,,,,,,,,,27.01307333,914.9877567,0.890902913,
